Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
1976-04-02,446.98,446.98,446.98,446.98,nan
1976-04-06,438.48,438.48,438.48,438.48,nan
1976-04-07,439.02,439.02,439.02,439.02,nan
1976-04-08,425.29,425.29,425.29,425.29,nan
1976-04-09,428.89,428.89,428.89,428.89,nan
1976-04-12,418.76,418.76,418.76,418.76,nan
1976-04-13,413.01,413.01,413.01,413.01,nan
1976-04-14,424.08,424.08,424.08,424.08,nan
1976-04-15,423.39,423.39,423.39,423.39,nan
1976-04-20,428.41,428.41,428.41,428.41,nan
1976-04-22,437.63,437.63,437.63,437.63,nan
1976-04-23,430.59,430.59,430.59,430.59,nan
1976-04-26,426.56,426.56,426.56,426.56,nan
1976-04-27,423.79,423.79,423.79,423.79,nan
1976-04-28,424.71,424.71,424.71,424.71,nan
1976-04-29,426.57,426.57,426.57,426.57,nan
1976-04-30,426.29,426.29,426.29,426.29,nan
1976-05-03,421.72,421.72,421.72,421.72,nan
1976-05-04,415.74,415.74,415.74,415.74,nan
1976-05-05,422.21,422.21,422.21,422.21,nan
1976-05-06,416.86,416.86,416.86,416.86,nan
1976-05-07,418.12,418.12,418.12,418.12,nan
1976-05-10,416.19,416.19,416.19,416.19,nan
1976-05-11,415.92,415.92,415.92,415.92,nan
1976-05-12,414.5,414.5,414.5,414.5,nan
1976-05-13,410.29,410.29,410.29,410.29,nan
1976-05-14,403.51,403.51,403.51,403.51,nan
1976-05-17,386.66,386.66,386.66,386.66,nan
1976-05-18,382.15,382.15,382.15,382.15,nan
1976-05-19,386.54,386.54,386.54,386.54,nan
1976-05-20,381.19,381.19,381.19,381.19,nan
1976-05-21,374.41,374.41,374.41,374.41,nan
1976-05-24,364.64,364.64,364.64,364.64,nan
1976-05-25,368.54,368.54,368.54,368.54,nan
1976-05-26,381.08,381.08,381.08,381.08,nan
1976-05-27,382.46,382.46,382.46,382.46,nan
1976-05-28,381.33,381.33,381.33,381.33,nan
1976-05-31,401.95,401.95,401.95,401.95,nan
1976-06-01,396.82,396.82,396.82,396.82,nan
1976-06-03,385.44,385.44,385.44,385.44,nan
1976-06-04,378.09,378.09,378.09,378.09,nan
1976-06-07,378.74,378.74,378.74,378.74,nan
1976-06-08,390.44,390.44,390.44,390.44,nan
1976-06-09,383.34,383.34,383.34,383.34,nan
1976-06-10,388.22,388.22,388.22,388.22,nan
1976-06-11,395.23,395.23,395.23,395.23,nan
1976-06-14,405.4,405.4,405.4,405.4,nan
1976-06-15,406.4,406.4,406.4,406.4,nan
1976-06-16,396.08,396.08,396.08,396.08,nan
1976-06-17,401.67,401.67,401.67,401.67,nan
1976-06-18,401.35,401.35,401.35,401.35,nan
1976-06-21,407.75,407.75,407.75,407.75,nan
1976-06-22,410.87,410.87,410.87,410.87,nan
1976-06-23,409.55,409.55,409.55,409.55,nan
1976-06-24,409.97,409.97,409.97,409.97,nan
1976-06-25,409.23,409.23,409.23,409.23,nan
1976-06-28,405.22,405.22,405.22,405.22,nan
1976-06-29,409,409,409,409,nan
1976-06-30,412.8,412.8,412.8,412.8,nan
1976-07-02,418.67,418.67,418.67,418.67,nan
1976-07-05,422.58,422.58,422.58,422.58,nan
1976-07-06,422.06,422.06,422.06,422.06,nan
1976-07-07,414.83,414.83,414.83,414.83,nan
1976-07-08,417.97,417.97,417.97,417.97,nan
1976-07-09,416.97,416.97,416.97,416.97,nan
1976-07-12,418.1,418.1,418.1,418.1,nan
1976-07-13,415.88,415.88,415.88,415.88,nan
1976-07-14,415.09,415.09,415.09,415.09,nan
1976-07-15,412.58,412.58,412.58,412.58,nan
1976-07-16,410.42,410.42,410.42,410.42,nan
1976-07-19,407.67,407.67,407.67,407.67,nan
1976-07-20,405.97,405.97,405.97,405.97,nan
1976-07-21,402.74,402.74,402.74,402.74,nan
1976-07-22,407.32,407.32,407.32,407.32,nan
1976-07-23,408.49,408.49,408.49,408.49,nan
1976-07-26,406.18,406.18,406.18,406.18,nan
1976-07-27,403.79,403.79,403.79,403.79,nan
1976-07-28,402.84,402.84,402.84,402.84,nan
1976-07-29,402.32,402.32,402.32,402.32,nan
1976-07-30,405.33,405.33,405.33,405.33,nan
1976-08-03,406.57,406.57,406.57,406.57,nan
1976-08-04,404.36,404.36,404.36,404.36,nan
1976-08-05,403.92,403.92,403.92,403.92,nan
1976-08-06,404.29,404.29,404.29,404.29,nan
1976-08-09,403.83,403.83,403.83,403.83,nan
1976-08-10,400.82,400.82,400.82,400.82,nan
1976-08-11,401.21,401.21,401.21,401.21,nan
1976-08-12,397.85,397.85,397.85,397.85,nan
1976-08-13,396.31,396.31,396.31,396.31,nan
1976-08-16,394.04,394.04,394.04,394.04,nan
1976-08-17,395.44,395.44,395.44,395.44,nan
1976-08-18,396.75,396.75,396.75,396.75,nan
1976-08-19,396.16,396.16,396.16,396.16,nan
1976-08-20,393.38,393.38,393.38,393.38,nan
1976-08-23,390.03,390.03,390.03,390.03,nan
1976-08-24,391.12,391.12,391.12,391.12,nan
1976-08-25,390.77,390.77,390.77,390.77,nan
1976-08-26,397.38,397.38,397.38,397.38,nan
1976-08-27,399.9,399.9,399.9,399.9,nan
1976-08-31,413.06,413.06,413.06,413.06,nan
1976-09-01,417.24,417.24,417.24,417.24,nan
1976-09-02,412.86,412.86,412.86,412.86,nan
1976-09-03,420.83,420.83,420.83,420.83,nan
1976-09-06,428.45,428.45,428.45,428.45,nan
1976-09-07,428.36,428.36,428.36,428.36,nan
1976-09-08,435.62,435.62,435.62,435.62,nan
1976-09-10,414.52,414.52,414.52,414.52,nan
1976-09-13,413.55,413.55,413.55,413.55,nan
1976-09-14,408.3,408.3,408.3,408.3,nan
1976-09-15,407.48,407.48,407.48,407.48,nan
1976-09-16,416.17,416.17,416.17,416.17,nan
1976-09-17,420.16,420.16,420.16,420.16,nan
1976-09-20,421.73,421.73,421.73,421.73,nan
1976-09-21,417.28,417.28,417.28,417.28,nan
1976-09-22,420.19,420.19,420.19,420.19,nan
1976-09-23,420.28,420.28,420.28,420.28,nan
1976-09-24,416.83,416.83,416.83,416.83,nan
1976-09-27,416.04,416.04,416.04,416.04,nan
1976-09-28,412.84,412.84,412.84,412.84,nan
1976-09-29,409.66,409.66,409.66,409.66,nan
1976-09-30,408.94,408.94,408.94,408.94,nan
1976-10-01,413.93,413.93,413.93,413.93,nan
1976-10-04,411.04,411.04,411.04,411.04,nan
1976-10-05,412.21,412.21,412.21,412.21,nan
1976-10-06,406.8,406.8,406.8,406.8,nan
1976-10-07,404.21,404.21,404.21,404.21,nan
1976-10-08,401.02,401.02,401.02,401.02,nan
1976-10-11,392.45,392.45,392.45,392.45,nan
1976-10-12,384.2,384.2,384.2,384.2,nan
1976-10-13,394.21,394.21,394.21,394.21,nan
1976-10-14,389.84,389.84,389.84,389.84,nan
1976-10-15,380.26,380.26,380.26,380.26,nan
1976-10-18,385.14,385.14,385.14,385.14,nan
1976-10-19,387.87,387.87,387.87,387.87,nan
1976-10-20,385.62,385.62,385.62,385.62,nan
